Energy (eV),n,k
1.000000,2.211079,0.001648
1.008008,2.211689,0.001659
1.016016,2.212303,0.001671
1.024024,2.212919,0.001682
1.032032,2.213539,0.001694
1.040040,2.214162,0.001705
1.048048,2.214789,0.001717
1.056056,2.215419,0.001728
1.064064,2.216052,0.001740
1.072072,2.216688,0.001752
1.080080,2.217328,0.001763
1.088088,2.217972,0.001775
1.096096,2.218618,0.001787
1.104104,2.219268,0.001799
1.112112,2.219922,0.001811
1.120120,2.220579,0.001823
1.128128,2.221239,0.001836
1.136136,2.221903,0.001848
1.144144,2.222571,0.001860
1.152152,2.223242,0.001873
1.160160,2.223916,0.001885
1.168168,2.224594,0.001898
1.176176,2.225275,0.001911
1.184184,2.225961,0.001923
1.192192,2.226649,0.001936
1.200200,2.227341,0.001949
1.208208,2.228037,0.001962
1.216216,2.228737,0.001975
1.224224,2.229440,0.001988
1.232232,2.230147,0.002001
1.240240,2.230857,0.002014
1.248248,2.231572,0.002028
1.256256,2.232290,0.002041
1.264264,2.233011,0.002055
1.272272,2.233737,0.002068
1.280280,2.234466,0.002082
1.288288,2.235199,0.002095
1.296296,2.235936,0.002109
1.304304,2.236677,0.002123
1.312312,2.237421,0.002137
1.320320,2.238170,0.002151
1.328328,2.238922,0.002165
1.336336,2.239678,0.002179
1.344344,2.240438,0.002194
1.352352,2.241202,0.002208
1.360360,2.241970,0.002222
1.368368,2.242743,0.002237
1.376376,2.243519,0.002252
1.384384,2.244299,0.002266
1.392392,2.245083,0.002281
1.400400,2.245871,0.002296
1.408408,2.246664,0.002311
1.416416,2.247460,0.002326
1.424424,2.248261,0.002341
1.432432,2.249066,0.002356
1.440440,2.249875,0.002371
1.448448,2.250688,0.002387
1.456456,2.251506,0.002402
1.464464,2.252328,0.002418
1.472472,2.253154,0.002433
1.480480,2.253984,0.002449
1.488488,2.254819,0.002465
1.496496,2.255659,0.002481
1.504505,2.256502,0.002497
1.512513,2.257350,0.002513
1.520521,2.258203,0.002529
1.528529,2.259060,0.002546
1.536537,2.259921,0.002562
1.544545,2.260787,0.002578
1.552553,2.261658,0.002595
1.560561,2.262533,0.002612
1.568569,2.263413,0.002628
1.576577,2.264297,0.002645
1.584585,2.265186,0.002662
1.592593,2.266080,0.002679
1.600601,2.266979,0.002697
1.608609,2.267882,0.002714
1.616617,2.268790,0.002731
1.624625,2.269703,0.002749
1.632633,2.270621,0.002766
1.640641,2.271544,0.002784
1.648649,2.272471,0.002802
1.656657,2.273404,0.002819
1.664665,2.274342,0.002837
1.672673,2.275284,0.002856
1.680681,2.276232,0.002874
1.688689,2.277185,0.002892
1.696697,2.278143,0.002910
1.704705,2.279106,0.002929
1.712713,2.280074,0.002948
1.720721,2.281048,0.002966
1.728729,2.282027,0.002985
1.736737,2.283011,0.003004
1.744745,2.284000,0.003023
1.752753,2.284995,0.003042
1.760761,2.285996,0.003062
1.768769,2.287002,0.003081
1.776777,2.288013,0.003101
1.784785,2.289030,0.003120
1.792793,2.290053,0.003140
1.800801,2.291081,0.003160
1.808809,2.292115,0.003180
1.816817,2.293154,0.003200
1.824825,2.294200,0.003220
1.832833,2.295251,0.003241
1.840841,2.296308,0.003261
1.848849,2.297371,0.003282
1.856857,2.298440,0.003303
1.864865,2.299515,0.003323
1.872873,2.300596,0.003344
1.880881,2.301683,0.003366
1.888889,2.302776,0.003387
1.896897,2.303876,0.003408
1.904905,2.304981,0.003430
1.912913,2.306094,0.003451
1.920921,2.307212,0.003473
1.928929,2.308337,0.003495
1.936937,2.309468,0.003517
1.944945,2.310606,0.003539
1.952953,2.311750,0.003562
1.960961,2.312901,0.003584
1.968969,2.314059,0.003607
1.976977,2.315224,0.003629
1.984985,2.316395,0.003652
1.992993,2.317573,0.003675
2.001001,2.318759,0.003698
2.009009,2.319951,0.003722
2.017017,2.321150,0.003745
2.025025,2.322357,0.003769
2.033033,2.323570,0.003793
2.041041,2.324791,0.003817
2.049049,2.326019,0.003841
2.057057,2.327255,0.003865
2.065065,2.328498,0.003889
2.073073,2.329749,0.003914
2.081081,2.331007,0.003938
2.089089,2.332273,0.003963
2.097097,2.333547,0.003988
2.105105,2.334829,0.004014
2.113113,2.336119,0.004039
2.121121,2.337416,0.004064
2.129129,2.338722,0.004090
2.137137,2.340036,0.004116
2.145145,2.341358,0.004142
2.153153,2.342689,0.004168
2.161161,2.344028,0.004195
2.169169,2.345376,0.004221
2.177177,2.346732,0.004248
2.185185,2.348097,0.004275
2.193193,2.349471,0.004302
2.201201,2.350854,0.004329
2.209209,2.352246,0.004357
2.217217,2.353647,0.004384
2.225225,2.355057,0.004412
2.233233,2.356476,0.004440
2.241241,2.357905,0.004468
2.249249,2.359344,0.004497
2.257257,2.360792,0.004525
2.265265,2.362250,0.004554
2.273273,2.363718,0.004583
2.281281,2.365196,0.004612
2.289289,2.366684,0.004642
2.297297,2.368182,0.004671
2.305305,2.369691,0.004701
