Energy (eV),n,k
6.300000,1.963177,0.976944
6.337374,1.901373,0.853846
6.374747,1.897296,0.734295
6.412121,1.937247,0.644190
6.449495,1.997181,0.590414
6.486869,2.060510,0.565624
6.524242,2.120368,0.560030
6.561616,2.175169,0.566367
6.598990,2.225259,0.580227
6.636364,2.271445,0.599212
6.673737,2.314495,0.622150
6.711111,2.355014,0.648559
6.748485,2.393432,0.678342
6.785859,2.430011,0.711609
6.823232,2.464859,0.748587
6.860606,2.497939,0.789571
6.897980,2.529063,0.834891
6.935354,2.557884,0.884893
6.972727,2.583887,0.939909
7.010101,2.606368,1.000219
7.047475,2.624431,1.066004
7.084848,2.636974,1.137276
7.122222,2.642718,1.213804
7.159596,2.640247,1.295017
7.196970,2.628102,1.379914
7.234343,2.604922,1.466999
7.271717,2.569632,1.554260
7.309091,2.521658,1.639239
7.346465,2.461119,1.719195
7.383838,2.388955,1.791371
7.421212,2.306917,1.853305
7.458586,2.217422,1.903125
7.495960,2.123290,1.939749
7.533333,2.027420,1.962951
7.570707,1.932501,1.973274
7.608081,1.840796,1.971861
7.645455,1.754034,1.960231
7.682828,1.673405,1.940073
7.720202,1.599605,1.913078
7.757576,1.532936,1.880827
7.794949,1.473396,1.844729
7.832323,1.420776,1.805991
7.869697,1.374729,1.765625
7.907071,1.334836,1.724461
7.944444,1.300637,1.683170
7.981818,1.271669,1.642287
8.019192,1.247476,1.602242
8.056566,1.227624,1.563371
8.093939,1.211703,1.525945
8.131313,1.199331,1.490177
8.168687,1.190151,1.456236
8.206061,1.183831,1.424261
8.243434,1.180060,1.394360
8.280808,1.178544,1.366624
8.318182,1.179006,1.341125
8.355556,1.181179,1.317921
8.392929,1.184806,1.297058
8.430303,1.189638,1.278570
8.467677,1.195429,1.262480
8.505051,1.201934,1.248803
8.542424,1.208911,1.237536
8.579798,1.216116,1.228668
8.617172,1.223304,1.222170
8.654545,1.230227,1.217996
8.691919,1.236638,1.216080
8.729293,1.242286,1.216333
8.766667,1.246924,1.218639
8.804040,1.250311,1.222854
8.841414,1.252213,1.228802
8.878788,1.252414,1.236274
8.916162,1.250719,1.245025
8.953535,1.246963,1.254782
8.990909,1.241018,1.265239
9.028283,1.232802,1.276071
9.065657,1.222283,1.286936
9.103030,1.209487,1.297488
9.140404,1.194495,1.307388
9.177778,1.177446,1.316319
9.215152,1.158527,1.323991
9.252525,1.137970,1.330159
9.289899,1.116039,1.334624
9.327273,1.093019,1.337243
9.364646,1.069204,1.337925
9.402020,1.044883,1.336635
9.439394,1.020334,1.333382
9.476768,0.995812,1.328220
9.514141,0.971547,1.321236
9.551515,0.947737,1.312541
9.588889,0.924548,1.302265
9.626263,0.902114,1.290549
9.663636,0.880542,1.277539
9.701010,0.859910,1.263378
9.738384,0.840273,1.248206
9.775758,0.821666,1.232158
9.813131,0.804107,1.215356
9.850505,0.787600,1.197914
9.887879,0.772138,1.179936
9.925253,0.757708,1.161514
9.962626,0.744287,1.142733
10.000000,0.731852,1.123664
