Energy	Index_refraction
6.26358	2.00966
6.34079	1.9701
6.41815	1.93384
6.5211	1.88111
6.67755	1.84807
6.86305	1.87753
7.07429	1.89381
7.28409	1.87719
7.41422	1.84417
7.49186	1.81449
7.59467	1.75847
7.61911	1.71567
7.66943	1.66298
7.69387	1.62018
7.74433	1.57078
7.87345	1.51473
7.97669	1.46857
8.1061	1.41911
8.2624	1.38278
8.57731	1.36278
8.78711	1.34615
8.9171	1.30985
8.75961	1.33166
8.99949	1.28376
9.17013	1.22728
9.41028	1.18804
9.68437	1.13144
9.95941	1.10516
10.2001	1.08325
10.44107	1.06999
10.7867	1.0956
11.16667	1.11685
11.61561	1.13801
15.053955330005854	1.093165658199258
15.617525955255646	1.0706689345565064
16.28701818959187	1.052533251540585
16.991774252014608	1.0343752614114823
17.696139939956684	1.0029333853832636
18.71840057998494	0.9890025932019069
19.634219111619217	0.9529989125282321
