Energy	Extintion_coefficient	
6.11322	0.51169
6.14865	0.54197
6.32201	0.57209
6.66723	0.58471
6.90874	0.58878
7.15174	0.64049
7.22247	0.69671
7.2932	0.75293
7.43275	0.80475
7.50334	0.85664
7.60828	0.90416
7.71227	0.92137
7.884	0.89954
7.95174	0.86049
8.157	0.80829
8.25895	0.76055
8.53345	0.71694
8.8784	0.7209
9.25729	0.7075
9.60102	0.67248
9.80682	0.63761
9.94312	0.58549
10.14892	0.55063
10.35445	0.5071
10.49143	0.47663
10.7662	0.44169
11.07558	0.41104
11.52343	0.39756
11.9717	0.39708
12.2823	0.4054
12.86862	0.4091
13.31688	0.40861
13.79976	0.41242
14.21381	0.42063
14.73104	0.42007
15.11047	0.42399
16.42036	0.40958
15.731	0.41899
16.97193	0.40466
17.38544	0.39555
17.83329	0.38207
18.3159	0.37722
18.76362	0.35941
19.21147	0.34593
19.59036	0.33253
19.86594	0.32357
