Energy	Index_refracction
6.12354	1.94081
6.15693	1.90613
6.25861	1.84972
6.39504	1.80193
6.53134	1.74982
6.94566	1.76669
7.25695	1.79667
7.35904	1.75325
7.46085	1.70117
7.63122	1.63603
7.66394	1.57969
7.7663	1.54494
7.90219	1.47983
7.93518	1.43216
8.03659	1.36709
8.20736	1.31493
8.55177	1.30157
8.96542	1.29679
9.17068	1.2446
9.3067	1.18382
9.47735	1.12734
9.88963	1.07925
10.44147	1.08299
10.89041	1.10415
11.30473	1.12103
11.8916	1.14205
12.61626	1.15858
13.13307	1.14503
13.68451	1.13577
14.27029	1.12215
15.02793	1.09101
15.64779	1.06436
16.33687	1.04629
16.957	1.02829
17.54237	1.00168
18.09381	0.99242
18.9549	0.96117
19.60991	0.95613
