omega,n,k
1.000000,4.888868,0.007289
1.006006,4.890890,0.007328
1.012012,4.892921,0.007366
1.018018,4.894961,0.007406
1.024024,4.897009,0.007445
1.030030,4.899065,0.007484
1.036036,4.901130,0.007524
1.042042,4.903204,0.007564
1.048048,4.905287,0.007604
1.054054,4.907378,0.007644
1.060060,4.909478,0.007684
1.066066,4.911587,0.007725
1.072072,4.913705,0.007765
1.078078,4.915831,0.007806
1.084084,4.917966,0.007847
1.090090,4.920111,0.007889
1.096096,4.922264,0.007930
1.102102,4.924426,0.007972
1.108108,4.926598,0.008014
1.114114,4.928778,0.008056
1.120120,4.930968,0.008098
1.126126,4.933166,0.008141
1.132132,4.935374,0.008183
1.138138,4.937591,0.008226
1.144144,4.939817,0.008269
1.150150,4.942052,0.008313
1.156156,4.944297,0.008356
1.162162,4.946551,0.008400
1.168168,4.948815,0.008444
1.174174,4.951088,0.008488
1.180180,4.953370,0.008532
1.186186,4.955662,0.008577
1.192192,4.957963,0.008622
1.198198,4.960274,0.008667
1.204204,4.962594,0.008712
1.210210,4.964924,0.008757
1.216216,4.967264,0.008803
1.222222,4.969614,0.008849
1.228228,4.971973,0.008895
1.234234,4.974342,0.008941
1.240240,4.976721,0.008988
1.246246,4.979109,0.009034
1.252252,4.981508,0.009081
1.258258,4.983917,0.009128
1.264264,4.986335,0.009176
1.270270,4.988764,0.009223
1.276276,4.991202,0.009271
1.282282,4.993651,0.009319
1.288288,4.996110,0.009368
1.294294,4.998579,0.009416
1.300300,5.001059,0.009465
1.306306,5.003548,0.009514
1.312312,5.006049,0.009563
1.318318,5.008559,0.009613
1.324324,5.011080,0.009662
1.330330,5.013611,0.009712
1.336336,5.016153,0.009762
1.342342,5.018705,0.009813
1.348348,5.021268,0.009863
1.354354,5.023842,0.009914
1.360360,5.026427,0.009965
1.366366,5.029022,0.010017
1.372372,5.031628,0.010068
1.378378,5.034245,0.010120
1.384384,5.036872,0.010172
1.390390,5.039511,0.010225
1.396396,5.042161,0.010277
1.402402,5.044821,0.010330
1.408408,5.047493,0.010383
1.414414,5.050176,0.010437
1.420420,5.052870,0.010490
1.426426,5.055576,0.010544
1.432432,5.058292,0.010598
1.438438,5.061021,0.010653
1.444444,5.063760,0.010707
1.450450,5.066511,0.010762
1.456456,5.069274,0.010818
1.462462,5.072048,0.010873
1.468468,5.074833,0.010929
1.474474,5.077631,0.010985
1.480480,5.080440,0.011041
1.486486,5.083261,0.011098
1.492492,5.086094,0.011154
1.498498,5.088939,0.011212
1.504505,5.091796,0.011269
1.510511,5.094664,0.011327
1.516517,5.097545,0.011384
1.522523,5.100438,0.011443
1.528529,5.103344,0.011501
1.534535,5.106261,0.011560
1.540541,5.109191,0.011619
1.546547,5.112134,0.011678
1.552553,5.115089,0.011738
1.558559,5.118056,0.011798
1.564565,5.121036,0.011858
1.570571,5.124029,0.011919
1.576577,5.127034,0.011980
1.582583,5.130052,0.012041
1.588589,5.133083,0.012102
1.594595,5.136127,0.012164
1.600601,5.139185,0.012226
1.606607,5.142255,0.012288
1.612613,5.145338,0.012351
1.618619,5.148434,0.012414
1.624625,5.151544,0.012477
1.630631,5.154667,0.012541
1.636637,5.157804,0.012604
1.642643,5.160954,0.012669
1.648649,5.164118,0.012733
1.654655,5.167295,0.012798
1.660661,5.170486,0.012863
1.666667,5.173691,0.012929
1.672673,5.176910,0.012994
1.678679,5.180143,0.013061
1.684685,5.183390,0.013127
1.690691,5.186651,0.013194
1.696697,5.189926,0.013261
1.702703,5.193215,0.013328
1.708709,5.196519,0.013396
1.714715,5.199837,0.013464
1.720721,5.203170,0.013533
1.726727,5.206518,0.013602
1.732733,5.209880,0.013671
1.738739,5.213257,0.013740
1.744745,5.216649,0.013810
1.750751,5.220056,0.013880
1.756757,5.223478,0.013951
1.762763,5.226915,0.014022
1.768769,5.230367,0.014093
1.774775,5.233835,0.014165
1.780781,5.237318,0.014237
1.786787,5.240816,0.014309
1.792793,5.244331,0.014382
1.798799,5.247861,0.014455
1.804805,5.251407,0.014529
1.810811,5.254968,0.014602
1.816817,5.258546,0.014677
1.822823,5.262140,0.014751
1.828829,5.265750,0.014826
1.834835,5.269376,0.014902
1.840841,5.273019,0.014977
1.846847,5.276679,0.015054
1.852853,5.280355,0.015130
1.858859,5.284048,0.015207
