omega,n,k
6.000000,6.279738,1.825189
6.014014,6.254243,1.855447
6.028028,6.228494,1.882756
6.042042,6.202767,1.907186
6.056056,6.177312,1.928833
6.070070,6.152351,1.947812
6.084084,6.128078,1.964253
6.098098,6.104656,1.978292
6.112112,6.082224,1.990068
6.126126,6.060894,1.999719
6.140140,6.040759,2.007376
6.154154,6.021889,2.013162
6.168168,6.004340,2.017191
6.182182,5.988155,2.019561
6.196196,5.973367,2.020359
6.210210,5.960005,2.019656
6.224224,5.948092,2.017511
6.238238,5.937655,2.013966
6.252252,5.928721,2.009055
6.266266,5.921324,2.002796
6.280280,5.915504,1.995200
6.294294,5.911312,1.986270
6.308308,5.908809,1.976002
6.322322,5.908070,1.964388
6.336336,5.909182,1.951419
6.350350,5.912244,1.937090
6.364364,5.917372,1.921395
6.378378,5.924693,1.904339
6.392392,5.934346,1.885934
6.406406,5.946481,1.866203
6.420420,5.961259,1.845183
6.434434,5.978844,1.822924
6.448448,5.999409,1.799496
6.462462,6.023124,1.774980
6.476476,6.050163,1.749479
6.490490,6.080690,1.723110
6.504505,6.114868,1.696003
6.518519,6.152848,1.668305
6.532533,6.194771,1.640171
6.546547,6.240764,1.611766
6.560561,6.290941,1.583259
6.574575,6.345405,1.554822
6.588589,6.404244,1.526624
6.602603,6.467532,1.498832
6.616617,6.535337,1.471601
6.630631,6.607716,1.445079
6.644645,6.684724,1.419401
6.658659,6.766414,1.394687
6.672673,6.852840,1.371039
6.686687,6.944064,1.348545
6.700701,7.040158,1.327275
6.714715,7.141208,1.307283
6.728729,7.247321,1.288604
6.742743,7.358623,1.271259
6.756757,7.475270,1.255256
6.770771,7.597448,1.240588
6.784785,7.725378,1.227237
6.798799,7.859322,1.215173
6.812813,7.999584,1.204359
6.826827,8.146519,1.194750
6.840841,8.300535,1.186295
6.854855,8.462102,1.178938
6.868869,8.631755,1.172619
6.882883,8.810106,1.167278
6.896897,8.997850,1.162850
6.910911,9.195777,1.159272
6.924925,9.404783,1.156478
6.938939,9.625888,1.154406
6.952953,9.860251,1.152994
6.966967,10.109193,1.152179
6.980981,10.374221,1.151904
6.994995,10.657063,1.152111
7.009009,10.959703,1.152746
7.023023,11.284433,1.153757
7.037037,11.633906,1.155094
7.051051,12.011215,1.156711
7.065065,12.419983,1.158564
7.079079,12.864481,1.160610
7.093093,13.349779,1.162812
7.107107,13.881938,1.165133
7.121121,14.468272,1.167540
7.135135,15.117679,1.170001
7.149149,15.841101,1.172487
7.163163,16.652148,1.174973
7.177177,17.567958,1.177434
7.191191,18.610426,1.179849
7.205205,19.807979,1.182196
7.219219,21.198205,1.184458
7.233233,22.831878,1.186620
7.247247,24.779288,1.188666
7.261261,27.140629,1.190584
7.275275,30.063794,1.192362
7.289289,33.776603,1.193992
7.303303,38.649240,1.195464
7.317317,45.326062,1.196772
7.331331,55.037122,1.197909
7.345345,70.459360,1.198872
7.359359,98.730327,1.199656
7.373373,167.373250,1.200259
7.387387,578.799846,1.200680
7.401401,-382.337658,1.200916
7.415415,-141.677029,1.200969
7.429429,-86.175087,1.200838
7.443443,-61.511438,1.200524
7.457457,-47.571910,1.200031
7.471471,-38.610872,1.199359
7.485485,-32.365150,1.198511
7.499499,-27.762787,1.197491
7.513514,-24.230435,1.196303
7.527528,-21.433649,1.194949
7.541542,-19.164191,1.193434
7.555556,-17.285630,1.191763
7.569570,-15.704846,1.189940
7.583584,-14.356105,1.187970
7.597598,-13.191680,1.185857
7.611612,-12.176082,1.183607
7.625626,-11.282371,1.181225
7.639640,-10.489728,1.178716
7.653654,-9.781810,1.176084
7.667668,-9.145609,1.173336
7.681682,-8.570640,1.170477
7.695696,-8.048359,1.167510
7.709710,-7.571735,1.164443
7.723724,-7.134924,1.161279
7.737738,-6.733034,1.158024
7.751752,-6.361936,1.154682
7.765766,-6.018120,1.151259
7.779780,-5.698585,1.147759
7.793794,-5.400747,1.144187
7.807808,-5.122372,1.140547
7.821822,-4.861517,1.136843
7.835836,-4.616482,1.133081
7.849850,-4.385776,1.129264
7.863864,-4.168086,1.125396
7.877878,-3.962246,1.121481
7.891892,-3.767225,1.117523
7.905906,-3.582098,1.113525
7.919920,-3.406042,1.109491
7.933934,-3.238316,1.105425
7.947948,-3.078253,1.101329
7.961962,-2.925250,1.097207
7.975976,-2.778762,1.093062
7.989990,-2.638293,1.088896
8.004004,-2.503390,1.084713
8.018018,-2.373642,1.080514
8.032032,-2.248671,1.076303
8.046046,-2.128129,1.072082
8.060060,-2.011697,1.067853
8.074074,-1.899080,1.063618
8.088088,-1.790004,1.059379
8.102102,-1.684218,1.055138
