omega,n,k
2.000000,2.260119,0.143027
2.008008,2.255390,0.141242
2.016016,2.250703,0.139445
2.024024,2.246058,0.137635
2.032032,2.241453,0.135812
2.040040,2.236890,0.133979
2.048048,2.232366,0.132135
2.056056,2.227883,0.130282
2.064064,2.223439,0.128419
2.072072,2.219033,0.126547
2.080080,2.214666,0.124667
2.088088,2.210337,0.122780
2.096096,2.206046,0.120886
2.104104,2.201791,0.118986
2.112112,2.197574,0.117080
2.120120,2.193392,0.115168
2.128128,2.189247,0.113252
2.136136,2.185137,0.111332
2.144144,2.181062,0.109407
2.152152,2.177022,0.107479
2.160160,2.173016,0.105549
2.168168,2.169045,0.103616
2.176176,2.165107,0.101681
2.184184,2.161203,0.099744
2.192192,2.157331,0.097806
2.200200,2.153493,0.095868
2.208208,2.149686,0.093929
2.216216,2.145912,0.091990
2.224224,2.142170,0.090052
2.232232,2.138459,0.088114
2.240240,2.134779,0.086177
2.248248,2.131130,0.084242
2.256256,2.127512,0.082309
2.264264,2.123924,0.080378
2.272272,2.120366,0.078449
2.280280,2.116837,0.076523
2.288288,2.113339,0.074600
2.296296,2.109869,0.072681
2.304304,2.106429,0.070765
2.312312,2.103017,0.068854
2.320320,2.099634,0.066946
2.328328,2.096279,0.065043
2.336336,2.092953,0.063145
2.344344,2.089654,0.061252
2.352352,2.086382,0.059364
2.360360,2.083138,0.057482
2.368368,2.079922,0.055605
2.376376,2.076732,0.053735
2.384384,2.073569,0.051870
2.392392,2.070433,0.050013
2.400400,2.067323,0.048161
2.408408,2.064240,0.046317
2.416416,2.061182,0.044480
2.424424,2.058150,0.042651
2.432432,2.055144,0.040828
2.440440,2.052164,0.039014
2.448448,2.049209,0.037207
2.456456,2.046279,0.035409
2.464464,2.043374,0.033618
2.472472,2.040494,0.031837
2.480480,2.037639,0.030063
2.488488,2.034809,0.028299
2.496496,2.032003,0.026543
2.504505,2.029221,0.024797
2.512513,2.026464,0.023059
2.520521,2.023731,0.021332
2.528529,2.021022,0.019613
2.536537,2.018336,0.017904
2.544545,2.015674,0.016205
2.552553,2.013036,0.014516
2.560561,2.010422,0.012837
2.568569,2.007831,0.011169
2.576577,2.005263,0.009510
2.584585,2.002719,0.007862
2.592593,2.000197,0.006224
2.600601,1.997699,0.004597
2.608609,1.995224,0.002981
2.616617,1.992771,0.001376
2.624625,1.990341,0.000219
2.632633,1.987934,0.001802
2.640641,1.985550,0.003374
2.648649,1.983188,0.004936
2.656657,1.980849,0.006485
2.664665,1.978532,0.008024
2.672673,1.976238,0.009551
2.680681,1.973966,0.011066
2.688689,1.971716,0.012570
2.696697,1.969489,0.014062
2.704705,1.967283,0.015542
2.712713,1.965100,0.017011
2.720721,1.962939,0.018467
2.728729,1.960800,0.019912
2.736737,1.958683,0.021345
2.744745,1.956588,0.022765
2.752753,1.954514,0.024174
2.760761,1.952463,0.025570
2.768769,1.950434,0.026954
2.776777,1.948426,0.028326
2.784785,1.946441,0.029686
2.792793,1.944477,0.031033
2.800801,1.942535,0.032368
2.808809,1.940615,0.033691
2.816817,1.938716,0.035001
2.824825,1.936840,0.036298
2.832833,1.934985,0.037583
2.840841,1.933152,0.038856
2.848849,1.931341,0.040116
2.856857,1.929551,0.041364
2.864865,1.927783,0.042599
2.872873,1.926038,0.043821
2.880881,1.924313,0.045031
2.888889,1.922611,0.046228
2.896897,1.920931,0.047412
2.904905,1.919272,0.048584
2.912913,1.917636,0.049743
2.920921,1.916021,0.050890
2.928929,1.914428,0.052024
2.936937,1.912857,0.053145
2.944945,1.911308,0.054254
2.952953,1.909782,0.055350
2.960961,1.908277,0.056433
2.968969,1.906794,0.057504
2.976977,1.905334,0.058562
2.984985,1.903895,0.059607
2.992993,1.902479,0.060640
3.001001,1.901085,0.061661
3.009009,1.899714,0.062669
3.017017,1.898364,0.063664
3.025025,1.897038,0.064647
3.033033,1.895733,0.065617
3.041041,1.894452,0.066575
3.049049,1.893193,0.067520
3.057057,1.891956,0.068453
3.065065,1.890742,0.069374
3.073073,1.889551,0.070282
3.081081,1.888383,0.071178
3.089089,1.887238,0.072062
3.097097,1.886116,0.072933
3.105105,1.885017,0.073793
3.113113,1.883941,0.074640
3.121121,1.882889,0.075475
3.129129,1.881860,0.076298
3.137137,1.880854,0.077109
3.145145,1.879872,0.077908
3.153153,1.878913,0.078695
3.161161,1.877979,0.079470
3.169169,1.877068,0.080233
3.177177,1.876180,0.080985
3.185185,1.875317,0.081724
3.193193,1.874478,0.082453
3.201201,1.873664,0.083169
3.209209,1.872874,0.083874
3.217217,1.872108,0.084568
3.225225,1.871366,0.085250
3.233233,1.870650,0.085920
3.241241,1.869958,0.086580
3.249249,1.869292,0.087228
3.257257,1.868650,0.087865
3.265265,1.868034,0.088491
3.273273,1.867443,0.089106
3.281281,1.866877,0.089710
3.289289,1.866337,0.090303
3.297297,1.865823,0.090885
3.305305,1.865335,0.091456
3.313313,1.864873,0.092017
3.321321,1.864437,0.092567
3.329329,1.864028,0.093107
3.337337,1.863645,0.093636
3.345345,1.863289,0.094155
3.353353,1.862960,0.094664
3.361361,1.862658,0.095163
3.369369,1.862383,0.095651
3.377377,1.862136,0.096130
3.385385,1.861916,0.096598
3.393393,1.861724,0.097057
3.401401,1.861560,0.097506
3.409409,1.861425,0.097945
3.417417,1.861317,0.098375
3.425425,1.861239,0.098796
3.433433,1.861189,0.099207
3.441441,1.861168,0.099608
3.449449,1.861177,0.100001
3.457457,1.861215,0.100385
3.465465,1.861283,0.100760
3.473473,1.861381,0.101125
3.481481,1.861509,0.101483
3.489489,1.861667,0.101831
3.497497,1.861856,0.102171
3.505506,1.862077,0.102503
3.513514,1.862328,0.102826
3.521522,1.862611,0.103141
3.529530,1.862926,0.103448
3.537538,1.863273,0.103747
3.545546,1.863652,0.104039
3.553554,1.864064,0.104322
3.561562,1.864509,0.104598
3.569570,1.864987,0.104867
3.577578,1.865499,0.105128
3.585586,1.866045,0.105382
3.593594,1.866625,0.105629
3.601602,1.867239,0.105868
3.609610,1.867889,0.106101
3.617618,1.868574,0.106328
3.625626,1.869295,0.106548
3.633634,1.870051,0.106761
3.641642,1.870845,0.106968
3.649650,1.871675,0.107169
3.657658,1.872542,0.107364
3.665666,1.873447,0.107553
3.673674,1.874391,0.107736
3.681682,1.875373,0.107914
3.689690,1.876394,0.108087
3.697698,1.877454,0.108254
3.705706,1.878554,0.108416
3.713714,1.879695,0.108573
3.721722,1.880877,0.108725
3.729730,1.882101,0.108873
3.737738,1.883366,0.109016
3.745746,1.884674,0.109156
3.753754,1.886025,0.109291
3.761762,1.887420,0.109422
3.769770,1.888859,0.109549
3.777778,1.890343,0.109673
3.785786,1.891873,0.109793
3.793794,1.893449,0.109911
3.801802,1.895071,0.110025
3.809810,1.896742,0.110137
3.817818,1.898460,0.110246
3.825826,1.900228,0.110353
3.833834,1.902045,0.110457
3.841842,1.903913,0.110560
3.849850,1.905831,0.110661
3.857858,1.907802,0.110761
3.865866,1.909826,0.110859
3.873874,1.911904,0.110957
3.881882,1.914037,0.111053
3.889890,1.916225,0.111150
3.897898,1.918469,0.111246
3.905906,1.920772,0.111342
3.913914,1.923132,0.111439
3.921922,1.925553,0.111536
3.929930,1.928034,0.111634
3.937938,1.930577,0.111734
3.945946,1.933182,0.111835
3.953954,1.935852,0.111937
3.961962,1.938588,0.112043
3.969970,1.941390,0.112150
3.977978,1.944259,0.112261
3.985986,1.947199,0.112375
3.993994,1.950209,0.112492
4.002002,1.953291,0.112614
4.010010,1.956446,0.112740
4.018018,1.959678,0.112871
4.026026,1.962985,0.113007
4.034034,1.966372,0.113149
4.042042,1.969839,0.113298
4.050050,1.973388,0.113453
4.058058,1.977020,0.113615
4.066066,1.980739,0.113785
4.074074,1.984546,0.113964
4.082082,1.988442,0.114151
4.090090,1.992431,0.114348
4.098098,1.996515,0.114556
4.106106,2.000695,0.114774
4.114114,2.004974,0.115003
4.122122,2.009355,0.115245
4.130130,2.013841,0.115500
4.138138,2.018434,0.115768
4.146146,2.023136,0.116051
4.154154,2.027952,0.116350
4.162162,2.032884,0.116665
4.170170,2.037936,0.116997
4.178178,2.043110,0.117348
4.186186,2.048411,0.117718
4.194194,2.053841,0.118109
4.202202,2.059406,0.118521
4.210210,2.065108,0.118957
4.218218,2.070953,0.119416
4.226226,2.076944,0.119902
4.234234,2.083086,0.120414
4.242242,2.089384,0.120956
4.250250,2.095844,0.121527
4.258258,2.102470,0.122131
4.266266,2.109267,0.122769
4.274274,2.116243,0.123442
4.282282,2.123403,0.124154
4.290290,2.130753,0.124906
4.298298,2.138300,0.125701
4.306306,2.146052,0.126541
4.314314,2.154016,0.127429
4.322322,2.162199,0.128368
4.330330,2.170611,0.129361
4.338338,2.179260,0.130412
4.346346,2.188156,0.131523
4.354354,2.197307,0.132699
4.362362,2.206726,0.133944
4.370370,2.216422,0.135263
4.378378,2.226407,0.136659
4.386386,2.236694,0.138139
4.394394,2.247296,0.139708
4.402402,2.258227,0.141372
4.410410,2.269501,0.143137
4.418418,2.281135,0.145011
4.426426,2.293145,0.147002
4.434434,2.305549,0.149117
4.442442,2.318366,0.151366
4.450450,2.331616,0.153759
4.458458,2.345321,0.156308
4.466466,2.359505,0.159022
4.474474,2.374193,0.161917
4.482482,2.389411,0.165007
4.490490,2.405187,0.168306
4.498498,2.421553,0.171834
4.506507,2.438543,0.175608
4.514515,2.456191,0.179652
4.522523,2.474537,0.183987
4.530531,2.493622,0.188642
4.538539,2.513491,0.193646
4.546547,2.534194,0.199031
4.554555,2.555783,0.204835
4.562563,2.578316,0.211099
4.570571,2.601856,0.217871
4.578579,2.626470,0.225204
4.586587,2.652234,0.233158
4.594595,2.679229,0.241801
4.602603,2.707543,0.251212
4.610611,2.737273,0.261481
4.618619,2.768526,0.272710
4.626627,2.801419,0.285020
4.634635,2.836078,0.298547
4.642643,2.872645,0.313454
4.650651,2.911272,0.329927
4.658659,2.952127,0.348188
4.666667,2.995394,0.368498
4.674675,3.041272,0.391165
4.682683,3.089975,0.416558
4.690691,3.141735,0.445120
4.698699,3.196794,0.477384
4.706707,3.255402,0.513995
4.714715,3.317811,0.555741
4.722723,3.384251,0.603583
4.730731,3.454914,0.658706
4.738739,3.529905,0.722571
4.746747,3.609177,0.796980
4.754755,3.692425,0.884158
4.762763,3.778921,0.986831
4.770771,3.867251,1.108290
4.778779,3.954938,1.252402
4.786787,4.037887,1.423472
4.794795,4.109669,1.625800
4.802803,4.160727,1.862685
4.810811,4.177896,2.134565
4.818819,4.145031,2.436211
4.826827,4.045930,2.753712
4.834835,3.870162,3.063409
4.842843,3.619873,3.335735
4.850851,3.312688,3.544270
4.858859,2.976900,3.675055
4.866867,2.641560,3.729634
4.874875,2.328310,3.720775
4.882883,2.048824,3.665471
4.890891,1.806603,3.579675
4.898899,1.600129,3.475972
4.906907,1.425519,3.363295
4.914915,1.278192,3.247560
4.922923,1.153726,3.132470
4.930931,1.048215,3.020225
4.938939,0.958364,2.912034
4.946947,0.881454,2.808484
4.954955,0.815270,2.709774
4.962963,0.758015,2.615872
4.970971,0.708235,2.526610
4.978979,0.664748,2.441746
4.986987,0.626590,2.361006
4.994995,0.592975,2.284104
5.003003,0.563254,2.210757
5.011011,0.536892,2.140692
5.019019,0.513446,2.073652
5.027027,0.492543,2.009397
5.035035,0.473875,1.947705
5.043043,0.457178,1.888368
5.051051,0.442233,1.831198
5.059059,0.428852,1.776021
5.067067,0.416876,1.722676
5.075075,0.406171,1.671015
5.083083,0.396620,1.620902
5.091091,0.388125,1.572212
5.099099,0.380605,1.524828
5.107107,0.373987,1.478643
5.115115,0.368213,1.433556
5.123123,0.363235,1.389473
5.131131,0.359011,1.346309
5.139139,0.355511,1.303981
5.147147,0.352710,1.262412
5.155155,0.350592,1.221531
5.163163,0.349148,1.181271
5.171171,0.348376,1.141568
5.179179,0.348279,1.102362
5.187187,0.348871,1.063599
5.195195,0.350170,1.025228
5.203203,0.352205,0.987203
5.211211,0.355013,0.949483
5.219219,0.358637,0.912035
5.227227,0.363135,0.874834
5.235235,0.368569,0.837864
5.243243,0.375016,0.801125
5.251251,0.382559,0.764633
5.259259,0.391290,0.728423
5.267267,0.401305,0.692558
5.275275,0.412695,0.657133
5.283283,0.425546,0.622275
5.291291,0.439916,0.588147
5.299299,0.455833,0.554945
5.307307,0.473270,0.522886
5.315315,0.492145,0.492195
5.323323,0.512311,0.463080
5.331331,0.533566,0.435709
5.339339,0.555667,0.410198
5.347347,0.578359,0.386595
5.355355,0.601387,0.364888
5.363363,0.624525,0.345011
5.371371,0.647579,0.326860
5.379379,0.670395,0.310308
5.387387,0.692857,0.295218
5.395395,0.714881,0.281450
5.403403,0.736412,0.268873
5.411411,0.757418,0.257362
5.419419,0.777883,0.246806
5.427427,0.797803,0.237103
5.435435,0.817184,0.228163
5.443443,0.836039,0.219907
5.451451,0.854384,0.212266
5.459459,0.872239,0.205178
5.467467,0.889625,0.198589
5.475475,0.906565,0.192452
5.483483,0.923081,0.186726
5.491491,0.939196,0.181374
5.499499,0.954933,0.176364
5.507508,0.970312,0.171667
5.515516,0.985357,0.167259
5.523524,1.000087,0.163117
5.531532,1.014522,0.159222
5.539540,1.028682,0.155556
5.547548,1.042585,0.152105
5.555556,1.056251,0.148854
5.563564,1.069695,0.145792
5.571572,1.082937,0.142909
5.579580,1.095992,0.140196
5.587588,1.108876,0.137645
5.595596,1.121607,0.135249
5.603604,1.134199,0.133002
5.611612,1.146668,0.130901
5.619620,1.159031,0.128942
5.627628,1.171302,0.127123
5.635636,1.183498,0.125443
5.643644,1.195634,0.123901
5.651652,1.207726,0.122498
5.659660,1.219792,0.121238
5.667668,1.231848,0.120123
5.675676,1.243911,0.119159
5.683684,1.255999,0.118354
5.691692,1.268133,0.117715
5.699700,1.280332,0.117254
5.707708,1.292616,0.116986
5.715716,1.305008,0.116928
5.723724,1.317532,0.117101
5.731732,1.330212,0.117531
5.739740,1.343075,0.118249
5.747748,1.356148,0.119295
5.755756,1.369460,0.120715
5.763764,1.383040,0.122567
5.771772,1.396917,0.124923
5.779780,1.411118,0.127872
5.787788,1.425668,0.131521
5.795796,1.440582,0.136007
5.803804,1.455862,0.141498
5.811812,1.471484,0.148203
5.819820,1.487387,0.156381
5.827828,1.503444,0.166347
5.835836,1.519429,0.178477
5.843844,1.534956,0.193201
5.851852,1.549412,0.210968
5.859860,1.561851,0.232163
5.867868,1.570913,0.256930
5.875876,1.574802,0.284865
5.883884,1.571491,0.314596
5.891892,1.559321,0.343391
5.899900,1.538032,0.367237
5.907908,1.509777,0.381840
5.915916,1.479160,0.384419
5.923924,1.451769,0.375183
5.931932,1.432007,0.357245
5.939940,1.421748,0.335088
5.947948,1.420434,0.312815
5.955956,1.426051,0.293161
5.963964,1.436140,0.277318
5.971972,1.448503,0.265191
5.979980,1.461658,0.255798
5.987988,1.475192,0.247945
5.995996,1.490006,0.241713
6.004004,1.507974,0.241591
6.012012,1.527079,0.260416
6.020020,1.526754,0.305093
6.028028,1.499625,0.343162
6.036036,1.477902,0.359158
6.044044,1.479774,0.363902
6.052052,1.508033,0.370955
6.060060,1.549667,0.396933
6.068068,1.568689,0.438620
6.076076,1.560265,0.463158
6.084084,1.545862,0.469370
6.092092,1.532765,0.468180
6.100100,1.521881,0.464992
6.108108,1.512929,0.461525
6.116116,1.505500,0.458189
6.124124,1.499256,0.455054
6.132132,1.493947,0.452117
6.140140,1.489386,0.449359
6.148148,1.485435,0.446760
6.156156,1.481988,0.444301
6.164164,1.478964,0.441964
6.172172,1.476301,0.439733
6.180180,1.473946,0.437594
6.188188,1.471860,0.435536
6.196196,1.470010,0.433548
6.204204,1.468368,0.431621
6.212212,1.466913,0.429747
6.220220,1.465624,0.427920
6.228228,1.464487,0.426134
6.236236,1.463488,0.424385
6.244244,1.462614,0.422668
6.252252,1.461857,0.420979
6.260260,1.461207,0.419316
6.268268,1.460658,0.417675
6.276276,1.460201,0.416054
6.284284,1.459831,0.414451
6.292292,1.459544,0.412865
6.300300,1.459334,0.411293
6.308308,1.459197,0.409734
6.316316,1.459129,0.408187
6.324324,1.459128,0.406651
6.332332,1.459190,0.405124
6.340340,1.459312,0.403607
6.348348,1.459493,0.402098
6.356356,1.459729,0.400596
6.364364,1.460019,0.399101
6.372372,1.460360,0.397612
6.380380,1.460752,0.396130
6.388388,1.461192,0.394652
6.396396,1.461679,0.393180
6.404404,1.462212,0.391713
6.412412,1.462790,0.390249
6.420420,1.463411,0.388790
6.428428,1.464074,0.387335
6.436436,1.464779,0.385883
6.444444,1.465525,0.384435
6.452452,1.466311,0.382989
6.460460,1.467135,0.381547
6.468468,1.467998,0.380108
6.476476,1.468899,0.378672
6.484484,1.469837,0.377238
6.492492,1.470812,0.375807
6.500501,1.471823,0.374378
6.508509,1.472870,0.372951
6.516517,1.473952,0.371527
6.524525,1.475070,0.370105
6.532533,1.476222,0.368684
6.540541,1.477409,0.367266
6.548549,1.478630,0.365850
6.556557,1.479885,0.364436
6.564565,1.481174,0.363024
6.572573,1.482497,0.361613
6.580581,1.483853,0.360204
6.588589,1.485242,0.358797
6.596597,1.486665,0.357391
6.604605,1.488121,0.355988
6.612613,1.489611,0.354585
6.620621,1.491134,0.353185
6.628629,1.492690,0.351786
6.636637,1.494279,0.350388
6.644645,1.495901,0.348992
6.652653,1.497557,0.347597
6.660661,1.499247,0.346204
6.668669,1.486973,0.277618
6.676677,1.488907,0.276756
6.684685,1.490873,0.275890
6.692693,1.492871,0.275019
6.700701,1.494902,0.274145
6.708709,1.496965,0.273266
6.716717,1.499061,0.272384
6.724725,1.501190,0.271498
6.732733,1.503353,0.270608
6.740741,1.505549,0.269714
6.748749,1.507779,0.268817
6.756757,1.510044,0.267916
6.764765,1.512343,0.267011
6.772773,1.514678,0.266102
6.780781,1.517049,0.265190
6.788789,1.519455,0.264275
6.796797,1.521898,0.263355
6.804805,1.524378,0.262432
6.812813,1.526896,0.261506
6.820821,1.529452,0.260575
6.828829,1.532046,0.259642
6.836837,1.534679,0.258704
6.844845,1.537353,0.257763
6.852853,1.540067,0.256817
6.860861,1.542822,0.255868
6.868869,1.545619,0.254916
6.876877,1.548458,0.253959
6.884885,1.551341,0.252998
6.892893,1.554268,0.252033
6.900901,1.557240,0.251064
6.908909,1.560257,0.250091
6.916917,1.563322,0.249114
6.924925,1.566434,0.248132
6.932933,1.569595,0.247146
6.940941,1.572805,0.246155
6.948949,1.576066,0.245159
6.956957,1.579379,0.244159
6.964965,1.582745,0.243154
6.972973,1.586165,0.242143
6.980981,1.589640,0.241128
6.988989,1.593173,0.240107
6.996997,1.596763,0.239080
7.005005,1.600413,0.238048
7.013013,1.604124,0.237010
7.021021,1.607897,0.235966
7.029029,1.611735,0.234915
7.037037,1.615639,0.233858
7.045045,1.619610,0.232794
7.053053,1.623651,0.231724
7.061061,1.627764,0.230646
7.069069,1.631950,0.229560
7.077077,1.636212,0.228467
7.085085,1.640552,0.227366
7.093093,1.644972,0.226256
7.101101,1.649475,0.225138
7.109109,1.654063,0.224010
7.117117,1.658740,0.222873
7.125125,1.663507,0.221727
7.133133,1.668368,0.220570
7.141141,1.673327,0.219402
7.149149,1.678386,0.218223
7.157157,1.683549,0.217032
7.165165,1.688820,0.215829
7.173173,1.694202,0.214613
7.181181,1.699700,0.213384
7.189189,1.705319,0.212141
7.197197,1.711061,0.210883
7.205205,1.716934,0.209610
7.213213,1.722941,0.208320
7.221221,1.729089,0.207013
7.229229,1.735383,0.205689
7.237237,1.741829,0.204345
7.245245,1.748434,0.202981
7.253253,1.755205,0.201597
7.261261,1.762149,0.200190
7.269269,1.769274,0.198759
7.277277,1.776590,0.197304
7.285285,1.784104,0.195823
7.293293,1.791827,0.194313
7.301301,1.799769,0.192774
7.309309,1.807942,0.191204
7.317317,1.816357,0.189600
7.325325,1.825027,0.187960
7.333333,1.833966,0.186282
7.341341,1.843190,0.184563
7.349349,1.852715,0.182801
7.357357,1.862558,0.180992
7.365365,1.872739,0.179133
7.373373,1.883278,0.177220
7.381381,1.894199,0.175249
7.389389,1.905525,0.173215
7.397397,1.917285,0.171113
7.405405,1.929507,0.168938
7.413413,1.942225,0.166683
7.421421,1.955474,0.164341
7.429429,1.969294,0.161904
7.437437,1.983729,0.159363
7.445445,1.998827,0.156708
7.453453,2.014643,0.153928
7.461461,2.031238,0.151009
7.469469,2.048680,0.147936
7.477477,2.067043,0.144693
7.485485,2.086416,0.141259
7.493493,2.106895,0.137612
7.501502,2.128592,0.133724
7.509510,2.151632,0.129563
7.517518,2.176164,0.125093
7.525526,2.202354,0.120269
7.533534,2.230398,0.115038
7.541542,2.260526,0.109334
7.549550,2.293005,0.103080
7.557558,2.328155,0.096177
7.565566,2.366357,0.088506
7.573574,2.408068,0.079914
7.581582,2.453846,0.070205
7.589590,2.504377,0.059127
7.597598,2.560511,0.046347
7.605606,2.623322,0.031418
7.613614,2.694181,0.013727
7.621622,2.774867,0.007588
7.629630,2.867734,0.033773
7.637638,2.975961,0.066686
7.645646,3.103932,0.109213
7.653654,3.257853,0.166043
7.661662,3.446714,0.245237
7.669670,3.683766,0.361626
7.677678,3.988280,0.544879
7.685686,4.384245,0.860361
7.693694,4.870955,1.464380
7.701702,5.212167,2.683861
7.709710,4.397687,4.370464
7.717718,2.612712,4.787889
7.725726,1.484068,4.267572
7.733734,0.920830,3.696811
7.741742,0.615402,3.232541
7.749750,0.430341,2.862593
7.757758,0.307341,2.561272
7.765766,0.219282,2.309023
7.773774,0.152244,2.092366
7.781782,0.098432,1.901993
7.789790,0.053123,1.731307
7.797798,0.013215,1.575468
7.805806,0.023522,1.430794
7.813814,0.058896,1.294375
7.821822,0.094605,1.163826
7.829830,0.132530,1.037171
7.837838,0.175087,0.912884
7.845846,0.225673,0.790306
7.853854,0.288897,0.670916
7.861862,0.368951,0.560702
7.869870,0.463853,0.469876
7.877878,0.562862,0.404061
7.885886,0.655876,0.359189
7.893894,0.739266,0.328207
7.901902,0.813242,0.305880
7.909910,0.879120,0.289030
7.917918,0.938279,0.275781
7.925926,0.991900,0.264996
7.933934,1.040942,0.255962
7.941942,1.086173,0.248210
7.949950,1.128216,0.241419
7.957958,1.167575,0.235367
7.965966,1.204667,0.229891
7.973974,1.239842,0.224869
7.981982,1.273396,0.220209
7.989990,1.305584,0.215839
7.997998,1.336632,0.211699
8.006006,1.366737,0.207741
8.014014,1.396081,0.203922
8.022022,1.424832,0.200206
8.030030,1.453147,0.196558
8.038038,1.481181,0.192943
8.046046,1.509086,0.189327
8.054054,1.537020,0.185671
8.062062,1.565150,0.181930
8.070070,1.593658,0.178051
8.078078,1.622749,0.173965
8.086086,1.652664,0.169577
8.094094,1.683696,0.164755
8.102102,1.716210,0.159303
8.110110,1.750685,0.152914
8.118118,1.787761,0.145081
8.126126,1.828329,0.134911
8.134134,1.873626,0.120701
8.142142,1.925261,0.098911
8.150150,1.984351,0.061423
8.158158,2.044665,0.011152
8.166166,2.053721,0.146886
8.174174,1.898530,0.227042
8.182182,1.815123,0.090311
8.190190,1.891416,0.008397
8.198198,1.994475,0.028840
8.206206,2.080105,0.001265
8.214214,2.148390,0.055650
8.222222,2.208019,0.180300
8.230230,2.218104,0.319255
8.238238,2.243984,0.457570
8.246246,2.214490,0.589532
8.254254,2.152930,0.648055
8.262262,2.098517,0.668939
8.270270,2.053999,0.679923
8.278278,2.016973,0.688591
